id,name,weight,desc,price,pricedesc,kcl /100g,ingridiance,categries
1,carmencita meat seasoning,75,Carmencita is an indonisian company has a great variety of spices that improves the taste of meat,50,44,Nutritional information (100 g):,"Salt, paprika, rosemary, pepper, savory, nutmeg, caraway and flavours",spices
3,carmencita ginger seasoning,35,,35,33,Energy: 478 kJ / 114 kcal,,spices
4,carmencita steak ibarian seasoning,66,,87,85,Fat: 2.2 g,,spices
5,carmencita white paper,50,,45,43,Content: 50 g,White pepper.,spices
6,CARMENCITA Basil,16,,39,37,Nutritional information (100 g):,Dehydrated spices.,spices
7,carmancita fish ,20,,48,30,Energy: 310 kJ / 75 kcal,,spices
8,carmencita organo ,8,,39,37,Fat: 2.0 g,Dehydrated spices,spices
9,carmencita nutmeg,50,,79,71,of which saturated: 0.8 g,Dehydrated spices.,spices
10,carmencita thyme,20,,39,37,Carbohydrates: 7.2 g,Dehydrated spices,spices
11,carmancita chicen,75,,48,33,of which sugar: 3.5 g,Dehydrated spices.,spices
12,carmancita rosemary,25,,34,32,Proteins: 2.0 g,Dehydrated spices.,spices
13,carmaancita parsley,12,,39,37,Salt: 7.3 g,Dehydrated spices.,spices
14,carmancita onion,38,,49,34,,Dehydrated spices.,spices
15,carmancita garlic,60,,43,30,,Dehydrated spices.,spices
16,carmencita cumin,47,,47,39,,Dehydrated spices.,spices
18,Carmencita barbecue seasoning,62,,105,97,,dehydrate ,spices
19,Carmencita Pizza & Pasta Seasoning,40,,87,81,,,spices
20,Grains chill cheese,110,,54,47,,,spices
21,Grains garrlic herb ,110,,54,47,,,spices
22,Grains bagil,110,,54,47,,,spices
23,Grains taco,110,,54,47,,,spices
24,Grains cajun,110,,54,47,,,spices
25,Grains veggies,110,,60,47,,,spices
26,Grains italian,110,,60,47,,,spices
28,Grains texas BBQ,110,,60,47,,,spices
29,Grains chili lemon,110,,60,47,,,spices
30,Grains chipotle,110,,60,47,,,spices
31,Grains ranch,110,,60,47,,,spices
31,Grains jerk,110,,60,47,,,spices
32,Grains ,110,,54,47,,,spices
33,Grains ,110,,54,47,,,spices
34,Grains carrot,110,,65,57,,,spices
35,Grains ,110,,54,47,,,spices
36,Grains ,110,,54,47,,,spices
37,Grains chile flakes,110,,45,38,,,spices
38,Grains ,110,,54,47,,,spices
39,Grains dill,110,,28,20,,,spices
40,Grains lemon,110,,65,57,,,spices
41,Grains marjoram,110,,54,47,,,spices
42,Grains mustard,110,,33,26,,,spices
43,Grains dried orange,110,,65,57,,,spices
44,Grains chimichurri,110,,54,47,,,spices
45,Grains thai coconut,110,,54,47,,,spices
46,Grains sweet hony barbeque,110,,54,47,,,spices
47,Grains lemon paper,110,,54,47,,,spices
48,Grains sweet tangy barbeque,110,,54,47,,,spices
49,Grains the sweet n smoky ,110,,54,47,,,spices
50,Grains shiracha mango,110,,54,47,,,spices
51,Grains the grill steak,110,,60,47,,,spices
52,Grains hot chicken nashville,110,,54,47,,,spices
53,grains Grains cayenne,110,,90,47,,,spices
54,grains marjoram,110,,20,20,,,spices
55,grains eib rub,110,,60,47,,,spices
56,grains cheese,110,,60,47,,,spices
57,Mehran Chicken Tikka Masala,1000,,145,100,,,SEASONINGS
58,Mehran Chicken Seasoning  ,1000,,145,100,,,SEASONINGS
59,mehran shawerma,1000,,145,100,,,SEASONINGS
60,Mehran BBQ Spices ,1000,,145,100,,,SEASONINGS
61,mehran byryanu ,125,,55,53,,,SEASONINGS
62,mehran butter chicken,100,,55,53,,,SEASONINGS
63,Mehran Fish Spices ,125,,55,53,,,SEASONINGS
64,mehran shawerma,100,,55,53,,,SEASONINGS
65,edit1,50,,26,24,,,SEASONINGS
